鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物),興隆路三段２０７巷１４弄２號五樓,25.85,都市：其他:第二種住宅區。,,,1100418,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730830,119.8,3,2,2,有,有,8800000,73456,,0.0,0,陽台外推；其他增建；,RPRNMLOJNHGGFAA07DA,73.42,24.65,6.71,無,
中正區,房地(土地+建物)+車位,羅斯福路三段２１２號十一樓之１,8.78,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080629,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,129.01999999999998,2,2,2,有,有,33750000,341192,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPUNMLTJMHGGFAA77DA,51.91,2.11,3.17,有,
文山區,房地(土地+建物),興隆路三段２０７巷１４弄６號三樓,24.12,都市：其他:第二種住宅區。,,,1100518,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0730830,92.4,3,2,1,有,有,9200000,99567,,0.0,0,陽台外推；其他增建；,RPSNMLRJOHGGFAA57DA,68.53,0.0,14.11,無,001
文山區,車位,興隆路四段５４之２、５４之３、５４之５、５４之６、５４之７、５４之８號地下一層,2.36,都市：其他:第三種住宅區。,,,1100522,土地1建物1車位1,地下一層,十層,其他,停車空間,鋼骨鋼筋混凝土造,0920527,32.18,0,0,0,有,有,2770000,,坡道平面,32.18,2770000,僅車位交易；,RPPOMLPKOHGGFAA27DA,0.0,0.0,0.0,有,002
文山區,房地(土地+建物)+車位,興隆路三段３０４巷３２之１１號六樓,36.55,都市：其他:第二種住宅區。,,,1100507,土地2建物1車位1,六層，七層,七層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1030314,252.73,0,0,0,無,有,25000000,104684,坡道平面,31.12,1800000,毛胚屋；,RPWNMLRKOHGGFAA08DA,97.77,21.29,4.01,無,
中正區,房地(土地+建物),重慶南路一段５７號七樓之１４,7.12,都市：其他:第四種商業區。,,,1100501,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0910723,101.66999999999999,2,1,1,有,有,24680000,242746,,0.0,0,陽台外推；夾層；其他增建；,RPPPMLOLNHGGFBA37DA,48.29,0.0,19.01,有,
大同區,房地(土地+建物),萬全街２９之３號,20.8,都市：其他:第三種商業區。,,,1100313,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600301,91.74,3,2,1,有,無,16380000,178548,,0.0,0,,RPUNMLKKOHGGFBA27DA,91.74,0.0,0.0,無,003
萬華區,房地(土地+建物),德昌街２７２巷７號,41.61,都市：其他:第三種住宅區。,,,1100405,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0750227,158.17,0,0,0,無,無,28000000,177025,,0.0,0,夾層；,RPXNMLPKOHGGFBA08DA,107.46,46.46,0.0,無,
大同區,房地(土地+建物),赤峰街３巷１３號六樓之１,8.95,都市：其他:第四種住宅區。,,,1100516,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951214,44.14,1,1,1,有,有,11400000,258269,,0.0,0,陽台外推；,RPXNMLRKOHGGFBA28DA,20.82,1.54,6.32,有,004
