鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
東區,房地(土地+建物)+車位,公園東路１００號十四樓之９,11.85,都市：其他:第四之二種商業區,,,1100217,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.00999999999999,2,1,1,有,有,9740000,93784,坡道平面,30.95,1200000,,RPUNMLTLLHGGFAB97DA,57.67,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路１００號七樓之２,11.79,都市：其他:第四之二種商業區,,,1100321,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,121.56,2,1,1,有,有,10000000,97120,坡道平面,30.95,1200000,,RPRNMLLMLHGGFAB96DA,57.33,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路９８號十二樓之５,11.79,都市：其他:第四之二種商業區,,,1100206,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,121.46000000000001,2,1,1,有,有,9860000,94575,坡道平面,30.95,1300000,,RPPOMLLMLHGGFAB86DA,57.33,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路１００號十四樓之７,11.94,都市：其他:第四之二種商業區,,,1100319,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.75,2,1,1,有,有,10240000,98475,坡道平面,30.95,1200000,,RPQOMLQJMHGGFAB27DA,58.15,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路９８號十三樓之１,11.94,都市：其他:第四之二種商業區,,,1100313,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.64,2,1,1,有,有,10700000,101429,坡道平面,30.95,1400000,,RPSPMLMLMHGGFAB37DA,58.15,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路１００號四樓之８,11.91,都市：其他:第四之二種商業區,,,1100330,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.58,2,1,1,有,有,9700000,92764,坡道平面,30.95,1200000,,RPTPMLMLMHGGFAB47DA,58.01,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路９８號十四樓之６,11.94,都市：其他:第四之二種商業區,,,1100205,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.64,2,1,1,有,有,11400000,109063,坡道平面,30.95,1400000,,RPOPMLNLMHGGFAB07DA,58.15,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路１００號十樓之１０,11.94,都市：其他:第四之二種商業區,,,1100313,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.75,2,1,1,有,有,10150000,97495,坡道平面,30.95,1200000,,RPQPMLNLMHGGFAB27DA,58.15,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路９８號十三樓之８,11.85,都市：其他:第四之二種商業區,,,1100304,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,121.9,2,1,1,有,有,10500000,101154,坡道平面,30.95,1300000,,RPWPMLNLMHGGFAB87DA,57.67,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路１００號七樓之１,11.94,都市：其他:第四之二種商業區,,,1100410,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.75,2,1,1,有,有,10920000,104793,坡道平面,30.95,1300000,,RPPQMLNLMHGGFAB27DA,58.15,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路１００號二樓之８,11.91,都市：其他:第四之二種商業區,,,1100419,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.58,2,1,1,有,有,9700000,92764,坡道平面,30.95,1200000,,RPUNMLSLMHGGFAB97DA,58.01,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路１００號六樓之９,11.85,都市：其他:第四之二種商業區,,,1100424,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.00999999999999,2,1,1,有,有,9820000,94663,坡道平面,30.95,1200000,,RPXNMLSLMHGGFAB28DA,57.67,3.49,0.0,有,
東區,房地(土地+建物)+車位,公園東路１００號十五樓之７,11.94,都市：其他:第四之二種商業區,,,1100312,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091125,122.75,2,1,1,有,有,10800000,102397,坡道平面,30.95,1400000,,RPVNMLKKNHGGFAB27DA,58.15,3.49,0.0,有,
