鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,土地,內惟段二小段462地號,79.0,都市：其他:第三種特定商業專用區,,,1100324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8600000,108861,,0.0,0,未登記建物；,RPVPMLNKNHGGFAE08DA,0.0,0.0,0.0,無,
鹽埕區,房地(土地+建物),大禮街１０號,141.0,都市：其他:第四種住宅區,,,1100428,土地1建物1車位0,全,三層,透天厝,,加強磚造,0620516,383.73,8,2,4,有,無,39980000,104188,,0.0,0,其他增建；,RPOPMLSKNHGGFAE87DA,383.73,0.0,0.0,無,
鼓山區,房地(土地+建物),裕國街１４１號八樓,9.69,都市：其他:第五種住宅區,,,1100523,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940909,81.72999999999999,3,2,1,有,有,5780000,70721,,0.0,0,,RPPNMLNLNHGGFAE37DA,54.05,3.78,0.0,有,
鼓山區,房地(土地+建物)+車位,明倫路１６７號二樓,9.69,都市：其他:第四種商業區,,,1100511,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960131,113.57,2,1,1,有,有,7870000,69296,坡道機械,11.78,0,,RPSOMLMJOHGGFAE57DA,64.89,4.35,0.0,有,
鼓山區,房地(土地+建物)+車位,美術東八街９６號十三樓,19.02,都市：其他:特定第五種住宅區,,,1100418,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920904,153.26,3,2,2,有,有,10250000,66880,坡道平面,23.82,0,,RPTOMLLJOHGGFAE57DA,78.2,13.25,0.0,有,
鼓山區,房地(土地+建物)+車位,翠華路２７９號二十二樓,34.86,都市：其他:第五種住宅區,,,1100512,土地1建物1車位2,二十二層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1050203,425.77,4,2,5,有,有,39800000,93478,坡道平面,51.02,0,,RPUNMLRJOHGGFAE18DA,213.61,26.22,0.0,有,
鼓山區,房地(土地+建物)+車位,翠華路２７９號五樓之１,28.18,都市：其他:第五種住宅區,,,1100417,土地1建物1車位2,五層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1050203,347.1,3,2,3,有,有,27120000,78133,坡道平面,47.3,0,,RPVNMLRJOHGGFAE28DA,167.5,24.38,0.0,有,
鼓山區,房地(土地+建物)+車位,美術北五街７２號十四樓,19.09,都市：其他:特定第五種住宅區,,,1100518,土地1建物1車位2,十四層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1071213,243.95999999999998,4,2,2,有,有,19250000,79322,坡道平面,41.62,3200000,,RPSOMLLKOHGGFAE57DA,118.2,25.19,0.0,有,0001
鼓山區,房地(土地+建物),中華一路２９巷２４弄３９之１號,43.3,都市：其他:第三種住宅區。,,,1100514,土地11建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0660315,77.95,3,2,2,有,無,4000000,51315,,0.0,0,,RPUNMLPKOHGGFAE08DA,77.95,0.0,0.0,無,0002
旗津區,土地,旗港段837地號,26.0,,,,1100604,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2127430,81824,,0.0,0,政府機關標讓售；,RPVOMLQKOHGGFAE38DA,0.0,0.0,0.0,無,
鼓山區,房地(土地+建物)+車位,美術東二路２４７號十三樓,25.17,都市：其他:特定第五種住宅區,,,1100529,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970425,198.69,4,2,2,有,有,14400000,73832,坡道平面,23.97,1500000,,RPOPMLQKOHGGFAE77DA,102.88,13.35,0.0,有,0003
鼓山區,房地(土地+建物)+車位,裕誠路１５０３之６號六樓之３,11.05,都市：其他:第四種商業區,,,1100511,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860215,124.51,3,2,2,有,有,7080000,56863,升降機械,0.0,0,,RPPNMLRKOHGGFAE77DA,78.76,15.63,0.0,有,
鼓山區,房地(土地+建物),美術南五街１９６號七樓,16.35,都市：其他:特定第五種住宅區,,,1100508,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940616,131.05,3,2,2,有,有,8300000,63335,,0.0,0,,RPOOMLRKOHGGFAE77DA,78.65,12.44,0.0,有,0004
鼓山區,房地(土地+建物)+車位,青海路７８號六樓,20.65,都市：其他:特定第五種住宅區,,,1100509,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,141.72,3,2,2,有,有,10300000,72679,坡道平面,19.64,0,,RPTNMLRKOHGGFAE18DA,74.85,10.74,0.0,有,0005
苓雅區,房地(土地+建物),建國一路２巷８弄８號三樓,21.36,都市：其他:第二種住宅區,,,1100503,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740430,79.21,3,2,2,有,無,3750000,47343,,0.0,0,,RPWPMLNKNHGGFBE28DA,0.0,0.0,0.0,無,0006
新興區,房地(土地+建物),同愛街３５巷１０號,112.0,非都市： ; 非都市編定：,,,1100510,土地4建物2車位0,全,二層,透天厝,,加強磚造,0530819,168.1,4,2,5,有,無,13300000,79120,,0.0,0,,RPRNMLRLNHGGFBE08DA,168.1,0.0,0.0,無,
新興區,房地(土地+建物)+車位,民生一路３６０號二十四樓,21.98,都市：其他:第三種特定商業專用區,,,1100412,土地1建物1車位2,二十四層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土構造、鋼筋混凝土,1070213,354.74,3,2,3,有,有,33250000,100020,坡道平面,58.3,3600000,,RPVNMLMJOHGGFBE87DA,159.2,34.41,0.0,有,
苓雅區,房地(土地+建物)+車位,河北路２３８號七樓,28.27,都市：其他:第五種住宅區,,,1100523,土地1建物1車位2,七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040901,323.42,3,2,3,有,有,28420000,87873,坡道平面,36.68,0,,RPQOMLPKOHGGFBE87DA,162.06,24.74,0.0,有,0007
苓雅區,房地(土地+建物),興中一路７巷２１號,49.0,都市：其他:第五種商業區,,,1100414,土地1建物1車位0,全,二層,透天厝,,加強磚造,0600901,80.43,4,2,3,有,無,9000000,111899,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRKOHGGFBE97DA,80.43,0.0,0.0,無,
苓雅區,房地(土地+建物),建國一路２巷６之４號五樓,29.52,都市：其他:第四種住宅區,,,1100401,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),公寓,鋼筋混凝土造,0751108,91.88,4,2,2,有,無,3600000,39182,,0.0,0,,RPROMLRKOHGGFBE18DA,81.67,10.21,0.0,無,0008
苓雅區,房地(土地+建物),海邊路４２號二樓之１,9.02,都市：其他:第五種商業區,,,1100613,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0690908,59.68,2,0,2,有,無,4400000,73727,,0.0,0,,RPROMLSKOHGGFBE28DA,59.68,0.0,0.0,無,0009
前鎮區,房地(土地+建物),瑞隆路１９４巷２弄１６號,66.58,都市：其他:第二種特定商業專用區,,,1100506,土地2建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0690808,156.76,4,2,2,有,無,8200000,52309,,0.0,0,,RPQPMLPJNHGGFCE87DA,156.76,0.0,0.0,無,
小港區,房地(土地+建物)+車位,中安路３１０之１號十樓,25.64,都市：其他:第三種住宅區。,,,1100515,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060829,151.66,3,2,2,有,有,7550000,49782,坡道平面,27.86,0,,RPTNMLPKNHGGFCE08DA,70.54,7.88,0.0,有,0010
小港區,房地(土地+建物),松青街８２號,151.13,都市：其他:第二種住宅區,,,1100329,土地2建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土,1080904,183.11,5,2,3,有,有,16850000,92021,,0.0,0,,RPROMLOLNHGGFCE97DA,168.48,14.63,0.0,無,
小港區,房地(土地+建物)+車位,康莊路９５號十四樓,16.75,都市：其他:第四種商業區,,,1100131,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100107,209.91,3,2,2,有,有,12250000,58358,坡道平面,18.16,0,,RPORMLLJOHGGFCE57DA,113.77,11.37,0.0,有,
小港區,房地(土地+建物)+車位,康莊路９７號三樓,15.63,都市：其他:第四種商業區,,,1100126,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100107,198.07,3,2,2,有,有,11160000,56344,坡道平面,17.4,0,,RPQRMLLJOHGGFCE77DA,108.14,9.7,0.0,有,
小港區,房地(土地+建物)+車位,康莊路９７號十一樓,15.95,都市：其他:第四種商業區,,,1100206,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100107,198.82,3,2,2,有,有,11530000,57992,坡道平面,18.16,0,,RPSRMLLJOHGGFCE97DA,108.14,9.7,0.0,有,
小港區,房地(土地+建物)+車位,康莊路９３號十一樓,11.8,都市：其他:第四種商業區,,,1100127,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100107,146.33,3,2,2,有,有,8300000,56721,坡道平面,18.16,0,,RPTRMLLJOHGGFCE08DA,74.17,9.34,0.0,有,
小港區,房地(土地+建物)+車位,康莊路９３號十五樓,11.8,都市：其他:第四種商業區,,,1100301,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100107,146.33,3,2,2,有,有,8450000,57746,坡道平面,18.16,0,,RPURMLLJOHGGFCE18DA,74.17,9.34,0.0,有,
小港區,房地(土地+建物)+車位,永順街９１號十四樓,10.85,都市：其他:第四種商業區,,,1100324,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100107,133.79000000000002,2,2,2,有,有,8000000,59795,坡道平面,18.16,0,,RPVRMLLJOHGGFCE28DA,67.88,7.63,0.0,有,
小港區,房地(土地+建物)+車位,永順街９１之６號十三樓,9.09,都市：其他:第四種商業區,,,1100128,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100107,114.68,2,2,2,有,有,6670000,58162,坡道機械,7.56,0,,RPWRMLLJOHGGFCE38DA,59.4,10.63,0.0,有,
小港區,房地(土地+建物),永順街９１之３號六樓,7.5,都市：其他:第四種商業區,,,1100127,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100107,96.28,2,2,1,有,有,5080000,52763,,0.0,0,,RPXRMLLJOHGGFCE48DA,54.53,8.45,0.0,有,
