鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物)+車位,藝文街３７３號十四樓,12.76,都市：其他:第二種住宅區,,,1080705,土地1建物1車位1,十四層,十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100115,111.02000000000001,2,2,1,有,有,11530000,130642,坡道平面,33.48,1400000,預售屋、或土地及建物分次登記案件；,RPOONLLJJIPFFAF67DA,44.49,1.12,5.09,有,
土城區,房地(土地+建物),永豐路１４７之１號十四樓,11.68,都市：其他:第二種住宅區,,,1100427,土地6建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841109,56.980000000000004,2,2,1,有,有,6750000,118463,,0.0,0,,RPXNMLNKNHGGFAF18DA,43.96,0.0,9.1,有,
土城區,房地(土地+建物),清水路２７８巷７弄６號五樓,32.76,都市：其他:第二種住宅區,,,1100501,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701221,82.98,3,2,1,有,無,6600000,79537,,0.0,0,,RPRNMLSJNHGGFAF97DA,63.92,0.0,19.06,無,
板橋區,房地(土地+建物),館前西路２７５號十一樓之３,12.52,都市：其他:住宅區,,,1100330,土地1建物1車位0,十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921008,119.49000000000001,3,2,2,有,有,15880000,132898,,0.0,0,,RPWRMLLKNHGGFAF28DA,85.07,0.0,9.24,有,
板橋區,房地(土地+建物),銘傳街３９號二樓,28.54,都市：其他:住宅區,,,1100510,土地2建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,79.7,3,2,1,有,無,9500000,119197,,0.0,0,其他增建；,RPSPMLLLNHGGFAF77DA,79.7,0.0,0.0,無,
板橋區,房地(土地+建物),中山路二段６０巷３弄１９號,45.33,都市：其他:住宅區,,,1100414,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0630527,87.65,3,1,1,有,無,8000000,91272,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLLJOHGGFAF27DA,74.25,13.4,0.0,無,
板橋區,房地(土地+建物)+車位,華江一路５９８號五樓,22.37,都市：其他:商業區,,,1061210,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100421,190.09,3,2,2,有,有,21400000,122020,坡道平面,29.87,1850000,本案權利人於民國109年05月02日向原買受人購買，購買總價為新台幣2157萬元整預售屋、或土地及建物分次登記案件；,RPVOMLTJOHGGFAF68DA,88.24,10.33,5.48,有,
板橋區,房地(土地+建物)+車位,華江一路５９８號七樓,22.37,都市：其他:商業區,,,1070324,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100421,190.09,3,2,2,有,有,22050000,127325,坡道平面,29.87,1650000,預售屋、或土地及建物分次登記案件；,RPPPMLTJOHGGFAF18DA,88.24,10.33,5.48,有,
板橋區,房地(土地+建物)+車位,華江一路５９８號十八樓,22.37,都市：其他:商業區,,,1061103,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100421,190.09,3,2,2,有,有,22360000,127075,坡道平面,29.87,2000000,預售屋、或土地及建物分次登記案件；,RPTPMLTJOHGGFAF58DA,88.24,10.33,5.48,有,
