鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,幸福路１８１號二樓,23.01,都市：其他:住宅區,,,1100321,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,156.34,3,2,2,有,有,12360000,79454,坡道平面,25.32,1950000,,RPPOMLMLMHGGFAH57DA,78.71,2.5,6.77,有,
桃園區,房地(土地+建物)+車位,仁愛路４６巷１號五樓,21.15,都市：其他:第二種住宅區,,,1100507,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881215,145.02,3,2,2,有,有,8100000,55854,坡道平面,0.0,1200000,其他增建；,RPRSMLRJNHGGFAH58DA,94.62,0.0,8.03,有,
桃園區,房地(土地+建物),樹林六街６號七樓,21.55,都市：其他:住宅區,,,1100426,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830614,134.17000000000002,4,2,2,有,有,7300000,54409,,0.0,0,其他增建；,RPSRMLKKNHGGFAH97DA,90.87,0.88,9.64,有,0001
桃園區,房地(土地+建物),江南二街４５號八樓,10.12,都市：其他:第二種住宅區,,,1100511,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920414,70.80000000000001,2,1,1,有,有,4500000,63559,,0.0,0,,RPPOMLRKNHGGFAH08DA,50.21,0.0,2.74,有,0002
桃園區,房地(土地+建物),復興路８３號十樓之１,5.63,都市：其他:商業區,,,1100314,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),套房．辦公室,鋼筋混凝土造,0691007,57.19,1,1,1,有,有,5710000,99843,,0.0,0,,RPTOMLTKNHGGFAH68DA,43.07,0.0,0.0,有,
桃園區,房地(土地+建物),復興路８３號十樓之３,6.76,都市：其他:商業區,,,1100312,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),套房．辦公室,鋼筋混凝土造,0691007,69.01,2,1,2,有,有,6890000,99841,,0.0,0,,RPOQMLTKNHGGFAH38DA,52.07,0.0,0.0,有,
桃園區,房地(土地+建物)+車位,正光路３１６號二十三樓,32.57,都市：其他:第一之一種住宅區,,,1100507,土地1建物1車位2,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,241.57999999999998,3,2,2,有,有,23900000,105893,坡道平面,46.1,3200000,,RPQPMLPLNHGGFAH18DA,111.46,6.33,10.88,有,
桃園區,房地(土地+建物)+車位,長春路３８之１號二樓,22.8,都市：其他:住宅區,,,1100513,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080321,181.62,3,2,2,有,有,12080000,69481,坡道平面,26.47,1300000,,RPRQMLPLNHGGFAH38DA,83.47,0.0,8.45,有,
桃園區,房地(土地+建物)+車位,桃鶯路３８２之１號六樓,26.09,都市：其他:住宅區,,,1100424,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,210.47,4,2,2,有,有,11500000,54640,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWTMLPLNHGGFAH56DA,111.01,3.41,10.05,有,
